dataset,model,accuracy_HF,accuracy_BF,accuracy_Mixte,total_cost_CA,data_cost_CA,compute_images_seen,time_min,robustness_gap,accuracy_per_kCA
Animals-10,BL 1(HF),54.322876817138486,27.824534557510837,41.07370568732466,470400.0,23520.0,47040.0,0.5815615124172634,26.49834225962765,0.11548230615888284
Animals-10,BL 2(BF),61.29813823004336,71.01504718184137,66.15659270594236,424260.00000000006,21213.000000000004,424260.0,6.864255478647021,-9.716908951798011,0.1444824829822358
Animals-10,BL 3(MIXTE),73.97347615404233,72.9023208365213,73.43789849528181,894660.0,44733.0,471300.0,7.207324473063151,1.0711553175210327,0.08268333909422834
Animals-10,Strat 1(BF→HF),77.69701606732976,68.27339964294822,72.985207855139,400230.0,44733.0,230940.0,3.940879220432705,9.423616424381535,0.19413091489226134
Animals-10,Strat 2(CoTrain),63.81025248661056,61.04310124968121,62.42667686814588,486720.0,44733.0,149760.0,2.455673917134603,2.767151236929351,0.1311025897571716
Imagewoof,BL 1(HF),24.985153134809536,22.07516755747858,23.530160346144058,179800.0,8990.0,17980.0,0.3733625147077772,2.909985577330957,0.13896080720138784
Imagewoof,BL 2(BF),42.71655213370663,47.01790107745822,44.867226605582424,162520.00000000003,8126.000000000002,162520.0,3.2636351002587216,-4.3013489437515915,0.2628387406701121
Imagewoof,BL 3(MIXTE),50.30117926529227,48.799524900313905,49.55035208280309,342320.0,17116.0,180500.0,3.4665152470270795,1.5016543649783642,0.14694198196217653
Imagewoof,Strat 1(BF→HF),50.97140917960465,44.73572579960974,47.853567489607194,153160.0,17116.0,88450.0,2.0288084864616396,6.23568337999491,0.33279844071301024
Imagewoof,Strat 2(CoTrain),37.54135912445915,37.42258420293543,37.481971663697294,183040.0,17116.0,56320.0,1.3687475548850165,0.11877492152371616,0.2050992085033826
